==== cProfile stats for build_prompt() ====

         1500018 function calls in 0.295 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.013    0.013    0.295    0.295 /Users/granthamblin/AIDoctors-5/src/application/backend/scripts/profile_build_prompt.py:39(run_build_prompt)
   100001    0.112    0.000    0.281    0.000 /Users/granthamblin/AIDoctors-5/src/application/backend/app/services/prediction_service.py:44(build_prompt)
   100001    0.035    0.000    0.170    0.000 /Users/granthamblin/AIDoctors-5/src/application/backend/app/utils/helpers.py:49(compute_overlap_days)
   200002    0.085    0.000    0.128    0.000 /Users/granthamblin/AIDoctors-5/src/application/backend/app/utils/helpers.py:5(parse_date)
   400004    0.014    0.000    0.014    0.000 {built-in method builtins.isinstance}
   200002    0.012    0.000    0.012    0.000 {method 'endswith' of 'str' objects}
   200002    0.011    0.000    0.011    0.000 {built-in method fromisoformat}
   100001    0.007    0.000    0.007    0.000 {built-in method builtins.max}
   200002    0.006    0.000    0.006    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /Users/granthamblin/AIDoctors-5/src/application/backend/scripts/profile_build_prompt.py:15(make_dummy_payload)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


