         241538 function calls (240881 primitive calls) in 0.067 seconds

   Ordered by: cumulative time
   List reduced from 1089 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.067    0.067 profile_build_patient_ae_tables.py:42(run_once)
        1    0.002    0.002    0.067    0.067 pipeline.py:240(build_patient_ae_tables)
        1    0.000    0.000    0.041    0.041 generic.py:224(apply)
        1    0.000    0.000    0.041    0.041 groupby.py:1780(apply)
        1    0.000    0.000    0.041    0.041 groupby.py:1850(_python_apply_general)
        1    0.001    0.001    0.041    0.041 ops.py:897(apply_groupwise)
     1147    0.001    0.000    0.026    0.000 pipeline.py:276(<lambda>)
     1147    0.006    0.000    0.022    0.000 pipeline.py:276(<setcomp>)
    38097    0.007    0.000    0.017    0.000 missing.py:380(notna)
     1148    0.000    0.000    0.010    0.000 ops.py:1149(__iter__)
     1147    0.001    0.000    0.010    0.000 ops.py:1171(_chop)
38135/38134    0.004    0.000    0.008    0.000 missing.py:101(isna)
        4    0.000    0.000    0.008    0.002 frame.py:10813(merge)
        4    0.000    0.000    0.008    0.002 merge.py:135(merge)
        4    0.000    0.000    0.007    0.002 merge.py:882(get_result)
       42    0.000    0.000    0.005    0.000 managers.py:557(copy)
38135/38134    0.004    0.000    0.004    0.000 missing.py:184(_isna)
       33    0.000    0.000    0.004    0.000 generic.py:6662(copy)
       49    0.000    0.000    0.004    0.000 managers.py:317(apply)
        4    0.000    0.000    0.004    0.001 merge.py:1129(_get_join_info)
        4    0.000    0.000    0.004    0.001 merge.py:1119(_get_join_indexers)
        4    0.001    0.000    0.004    0.001 merge.py:1692(get_join_indexers)
     1147    0.002    0.000    0.003    0.000 managers.py:1974(get_slice)
      144    0.000    0.000    0.003    0.000 blocks.py:790(copy)
      175    0.003    0.000    0.003    0.000 {method 'copy' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.003    0.001 merge.py:825(_reindex_and_concat)
       43    0.000    0.000    0.003    0.000 frame.py:4062(__getitem__)
     1169    0.001    0.000    0.003    0.000 series.py:664(_constructor_from_mgr)
        4    0.000    0.000    0.003    0.001 frame.py:5636(rename)
        4    0.000    0.000    0.003    0.001 generic.py:1070(_rename)
     1272    0.002    0.000    0.003    0.000 generic.py:6236(__finalize__)
        2    0.002    0.001    0.002    0.001 merge.py:1770(get_join_indexers_non_unique)
       13    0.000    0.000    0.002    0.000 algorithms.py:610(factorize)
48594/48488    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
        3    0.000    0.000    0.002    0.001 frame.py:6997(sort_values)
       15    0.000    0.000    0.002    0.000 managers.py:623(reindex_indexer)
      6/5    0.000    0.000    0.002    0.000 generic.py:6463(astype)
       13    0.002    0.000    0.002    0.000 algorithms.py:548(factorize_array)
     1157    0.001    0.000    0.002    0.000 base.py:836(__iter__)
        5    0.000    0.000    0.002    0.000 concat.py:157(concat)


