         187060 function calls (186274 primitive calls) in 0.086 seconds

   Ordered by: cumulative time
   List reduced from 1129 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.086    0.086 profile_build_patient_ae_tables.py:42(run_once)
        1    0.002    0.002    0.085    0.085 pipeline.py:240(build_patient_ae_tables)
        1    0.000    0.000    0.051    0.051 generic.py:232(aggregate)
        1    0.000    0.000    0.050    0.050 generic.py:318(_python_agg_general)
        1    0.000    0.000    0.050    0.050 ops.py:840(agg_series)
        1    0.001    0.001    0.050    0.050 ops.py:873(_aggregate_series_pure_python)
     1147    0.000    0.000    0.037    0.000 generic.py:324(<lambda>)
     1147    0.001    0.000    0.036    0.000 pipeline.py:340(_uniq_sorted)
     1147    0.001    0.000    0.027    0.000 algorithms.py:307(unique)
     1147    0.004    0.000    0.026    0.000 algorithms.py:427(unique_with_mask)
     1162    0.000    0.000    0.018    0.000 algorithms.py:262(_get_hashtable_algo)
     1162    0.002    0.000    0.014    0.000 algorithms.py:106(_ensure_data)
     1148    0.001    0.000    0.012    0.000 ops.py:1149(__iter__)
     1147    0.001    0.000    0.011    0.000 ops.py:1171(_chop)
        4    0.000    0.000    0.010    0.002 frame.py:10813(merge)
        4    0.000    0.000    0.010    0.002 merge.py:135(merge)
        4    0.000    0.000    0.009    0.002 merge.py:882(get_result)
2537/2535    0.007    0.000    0.007    0.000 {built-in method numpy.asarray}
        4    0.000    0.000    0.007    0.002 frame.py:6997(sort_values)
     1147    0.001    0.000    0.006    0.000 base.py:541(to_numpy)
33955/33840    0.003    0.000    0.006    0.000 {built-in method builtins.isinstance}
       43    0.000    0.000    0.006    0.000 managers.py:557(copy)
        4    0.001    0.000    0.005    0.001 sorting.py:301(lexsort_indexer)
       52    0.000    0.000    0.005    0.000 managers.py:317(apply)
       15    0.000    0.000    0.005    0.000 algorithms.py:610(factorize)
        4    0.000    0.000    0.005    0.001 merge.py:1129(_get_join_info)
        4    0.000    0.000    0.005    0.001 merge.py:1119(_get_join_indexers)
        4    0.000    0.000    0.005    0.001 merge.py:1692(get_join_indexers)
       12    0.000    0.000    0.005    0.000 categorical.py:371(__init__)
       34    0.000    0.000    0.005    0.000 generic.py:6662(copy)
       15    0.004    0.000    0.005    0.000 algorithms.py:548(factorize_array)
      145    0.000    0.000    0.004    0.000 blocks.py:790(copy)
      184    0.004    0.000    0.004    0.000 {method 'copy' of 'numpy.ndarray' objects}
     1147    0.002    0.000    0.004    0.000 managers.py:1974(get_slice)
        4    0.000    0.000    0.004    0.001 merge.py:825(_reindex_and_concat)
        2    0.002    0.001    0.004    0.002 merge.py:1770(get_join_indexers_non_unique)
       18    0.000    0.000    0.003    0.000 managers.py:623(reindex_indexer)
       47    0.000    0.000    0.003    0.000 frame.py:4062(__getitem__)
        4    0.000    0.000    0.003    0.001 frame.py:5636(rename)
        4    0.000    0.000    0.003    0.001 generic.py:1070(_rename)


