==== cProfile stats for predict() ====

1548748 function calls (1342132 primitive calls) in 39.411 seconds

Ordered by: cumulative time
List reduced from 2697 to 40 due to restriction <40>

ncalls   tottime   percall   cumtime   percall   filename:lineno(function)
1        0.000     0.000     39.413    39.413    asyncio/runners.py:160(run)
3        0.000     0.000     39.412    13.137    asyncio/base_events.py:618(run_until_complete)
3        0.000     0.000     39.412    13.137    asyncio/base_events.py:594(run_forever)
1        0.000     0.000     39.412    39.412    asyncio/runners.py:86(run)
6        0.000     0.000     39.412    6.569     asyncio/base_events.py:1859(_run_once)
6        0.000     0.000     39.412    6.569     asyncio/events.py:82(_run)
6        0.000     0.000     39.412    6.569     {method 'run' of '_contextvars.Context' objects}
1        0.000     0.000     39.412    39.412    profile_predict.py:36(run_predict_once)
1        0.000     0.000     39.412    39.412    predictions.py:20(predict)
1        0.000     0.000     31.224    31.224    prediction_service.py:122(get_model_and_tokenizer)
1        0.000     0.000     30.282    30.282    transformers/auto_factory.py:468(from_pretrained)
1        0.000     0.000     30.100    30.100    modeling_utils.py:273(_wrapper)
1        0.007     0.007     30.100    30.100    modeling_utils.py:4382(from_pretrained)
14       0.000     0.000     29.836    2.131     transformers/utils/hub.py:264(cached_file)
14       0.000     0.000     29.836    2.131     transformers/utils/hub.py:327(cached_files)
105/40   0.001     0.000     29.836    0.746     huggingface_hub/utils/_validators.py:_inner_fn
11       0.000     0.000     29.831    2.712     huggingface_hub/file_download.py:808(hf_hub_download)
11       0.000     0.000     29.829    2.712     huggingface_hub/file_download.py:1027(_hf_hub_download_to_cache_dir)
7        0.000     0.000     29.104    4.158     huggingface_hub/file_download.py:1665(_download_to_tmp_and_move)
1        0.000     0.000     28.918    28.918    modeling_utils.py:889(_get_resolved_checkpoint_files)
1        0.000     0.000     28.770    28.770    huggingface_hub/file_download.py:529(xet_get)
1        28.518    28.518    28.518    28.518    {built-in method hf_xet.hf_xet.download_files}
259/3    0.002     0.000     9.165     3.055     torch/utils/_contextlib.py:117(decorate_context)
1        0.000     0.000     8.179     8.179     generation/utils.py:2233(generate)
1        0.014     0.014     8.178     8.178     generation/utils.py:2686(_sample)
81408/256 0.045    0.000     8.052     0.031     torch/nn/modules/module.py:1771(_wrapped_call_impl)
81408/256 0.094    0.000     8.051     0.031     torch/nn/modules/module.py:1779(_call_impl)
256      0.001     0.000     8.050     0.031     transformers/utils/generic.py:912(wrapper)
256      0.003     0.000     8.049     0.031     modeling_qwen2.py:417(forward)
43264    0.041     0.000     6.455     0.000     torch/nn/modules/linear.py:130(forward)
43264    6.395     0.000     6.395     0.000     {built-in method torch._C._nn.linear}
256      0.002     0.000     6.347     0.025     transformers/utils/generic.py:953(wrapper)
256      0.018     0.000     6.342     0.025     modeling_qwen2.py:328(forward)
6144     0.008     0.000     6.260     0.001     modeling_layers.py:60(__call__)
12288/6144 0.027   0.000     6.234     0.001     transformers/utils/deprecation.py:120(wrapped_func)
6144     0.052     0.000     6.218     0.001     modeling_qwen2.py:219(forward)
6144     0.049     0.000     4.228     0.001     modeling_qwen2.py:45(forward)
6144     0.086     0.000     1.649     0.000     modeling_qwen2.py:140(forward)
1        0.000     0.000     1.019     1.019     modeling_utils.py:5284(_load_pretrained_model)
1        0.000     0.000     0.994     0.994     modeling_utils.py:803(load_shard_file)
